"Product ID";"Image";"Name";"Reference";"Category";"Base price";"Final price";"Quantity";"Status";"Position";"Supplier"
"56";"http://fastshopping.matesica.ro/29/orange.jpg";"Portocale Spania";"";"Legume si fructe";"5.94";"5.94";"100";"1";"";"Carrefour"
"57";"http://fastshopping.matesica.ro/29/orange.jpg";"Portocale";"";"Legume si fructe";"5.99";"5.99";"70";"1";"";"MegaImage"
"58";"";"Avocado";"";"Legume si fructe";"4.5";"4.5";"50";"1";"";"MegaImage"
"59";"";"Cartofi";"";"Legume si fructe";"2.55";"2.55";"150";"1";"";"Kaufland"
"60";"";"Ciuperci Caserola 1kg";"";"Legume si fructe";"5.99";"5.99";"20";"1";"";"Kaufland"
"61";"";"Rosii";"";"Legume si fructe";"4.25";"4.25";"75";"1";"";"Carrefour"
"62";"";"Rucola Caserola 125g";"";"Legume si fructe";"2.75";"2.75";"10";"1";"";"MegaImage"
"63";"";"Lapte LaDorna 3.5%grasime 1L";"";"Lactate si oua";"4.57";"4.57";"25";"1";"";"Carrefour"
"64";"";"Kinder Felie de Lapte";"";"Lactate si oua";"1.75";"1.75";"80";"1";"";"Kaufland"
"65";"";"Kinder Felie de Lapte";"";"Lactate si oua";"1.69";"1.69";"90";"1";"";"Carrefour"
"66";"";"Iaurt Cremosso Natur 5.2% grasime 125g";"";"Lactate si oua";"2";"2";"54";"1";"";"MegaImage"
"67";"";"Ouă Proaspete 20 bucăți";"";"Lactate si oua";"15";"15";"79";"1";"";"Kaufland"
